District,Color
Adilabad,Red
Bhadradri,Green
Gadwal,Green
Hanamkonda,Green
Hyderabad,Red
Jagtial,Red
Jangaon,Green
Jayashankar,Red
Jogulamba,Red
Kamareddy,Blue
Karimnagar,Blue
Khammam,Red
Kumurambheem,Green
Mahabubabad,Blue
Mahabubnagar,Yellow
Mancherial,Blue
Medak,Green
Medchal,Blue
Mulugu,Blue
Nagarkurnool,Green
Nalgonda,Blue
Nirmal,Green
Nizamabad,Red
Peddapalli,Green
Rajanna_Sircilla,Green
Rangareddy,Green
Sangareddy,Yellow
Siddipet,Red
Suryapet,Green
Vikarabad,Red
Wanaparthy,Red
Warangal_Rural,Yellow
Warangal_Urban,Red
Yadadri,Yellow
